,ID,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,default_payment_next_month,LIMIT_BAL
0,4317,24,4050,5426,6743,8544,9858,1303,3,2,0,0,0,0,0,0,2000,2000,2000,2000,1000,0,1,0,10000
0,25269,25,52109,43007,33481,28563,24065,2802,2,1,0,0,0,0,0,0,1565,3194,1200,6206,0,310,2,0,120000
0,3372,36,45849,46909,47928,48731,49793,50812,2,1,0,0,0,0,0,0,2100,2100,1900,2000,2000,2100,2,0,140000
0,14340,36,0,250,79,79,290,106,1,1,1,-1,-1,-1,-1,-1,250,79,0,290,106,66,1,1,390000
0,18417,24,30767,28818,30411,28805,26895,27162,2,2,0,0,0,0,0,0,1600,2517,4006,2000,1000,1500,2,0,30000
0,1584,70,49546,48480,48621,17793,18224,18612,1,2,2,2,0,0,0,0,0,2200,700,700,674,608,2,0,50000
0,7034,24,28329,28980,29564,29710,29700,0,2,1,0,0,0,0,0,0,1800,1774,920,1102,4014,0,2,0,90000
0,24299,37,9608,12127,11647,13138,14903,17664,2,1,0,0,2,0,0,0,3000,0,2000,2000,3000,2000,1,0,40000
0,13909,28,158245,161695,163620,165604,169075,172401,1,2,2,2,2,2,2,2,7400,6000,6100,6200,6200,6300,2,0,180000
0,28386,35,0,0,0,0,249,317,3,1,1,-2,-2,-2,-1,-1,0,0,0,249,317,0,2,0,100000
0,9892,32,50669,48942,27836,40346,38668,20016,2,1,0,0,0,0,0,0,1613,1484,3675,698,1000,706,1,0,50000
0,16096,36,59379,63007,61459,59798,61287,8383,2,1,1,2,3,2,0,0,5200,0,0,3009,1000,94000,2,0,140000
0,26713,26,14598,13998,15467,14913,17692,16302,3,2,2,2,2,2,2,2,2000,2000,0,3009,0,2000,1,0,30000
0,19221,47,25893,30628,29368,27769,25999,26924,2,1,2,2,2,0,0,0,5501,22,2000,1000,2000,2039,2,1,30000
0,28459,42,0,1473,1863,0,112978,115357,3,1,-2,-2,-2,-2,-1,0,1473,1863,0,119001,5000,4500,2,0,160000
0,9640,29,128208,100939,92549,90038,88772,111287,1,2,0,0,0,0,0,0,17000,6000,5000,6500,25000,4000,1,0,260000
0,23912,23,31348,50778,53407,19443,16597,18423,1,2,0,0,0,0,0,0,20109,5000,2000,1000,2000,1000,1,0,60000
0,9067,27,3682,4714,2336,0,5471,5415,3,2,2,2,2,2,-1,-1,3193,0,0,5471,5415,5124,2,0,80000
0,24066,23,14697,11983,4098,14899,10170,7151,1,2,-1,-1,-1,-1,-1,-1,12483,4098,14899,10170,427,0,1,0,20000
0,18410,25,18696,20086,20285,16530,0,0,2,2,2,0,0,0,0,-2,1705,1418,2011,0,0,0,2,1,20000
0,17062,23,50653,49348,47995,40226,27828,28411,3,2,2,0,0,0,0,0,2190,2027,2204,996,1031,1047,2,0,50000
0,14059,46,48885,48793,34440,30889,30182,29912,2,1,0,0,0,0,0,0,2000,2500,2000,1500,5000,1500,1,0,50000
0,4830,48,7065,8148,9199,9558,9136,9392,3,3,0,0,0,0,0,0,1200,1200,500,500,500,0,2,0,10000
0,2731,30,31217,33423,32600,31777,33966,34759,3,2,1,2,3,2,2,2,3000,0,0,2700,1500,0,1,0,50000
0,27002,41,8988,6849,7471,8043,19526,7564,2,1,0,0,0,0,0,0,1200,2000,2000,3000,1000,10640,1,0,50000
0,28069,40,92393,85345,76109,77068,77868,75954,2,2,0,0,0,0,0,0,3500,3500,3300,3000,3000,3000,2,0,100000
0,10113,31,9514,2067,-6,-409,793,2385,2,2,0,-1,-1,-2,-1,-1,2100,405,0,2385,2385,3000,2,0,50000
0,5056,25,232,815,631,1237,1529,357,1,2,-1,-1,-1,-1,-1,-1,815,631,1237,1529,357,2957,2,0,80000
0,11194,25,140876,48005,13650,12371,12511,10697,2,1,0,0,0,0,0,0,3600,4015,600,500,800,119,2,0,140000
0,22591,41,8554,1375,2310,0,0,351,2,0,0,0,0,0,-2,-1,1000,1000,0,0,351,0,2,1,160000
0,19124,32,1249,142,5965,991,-9,1974,1,2,-2,-2,-2,-2,-2,-2,142,6001,996,0,1983,7228,2,0,450000
0,28572,29,96686,77817,29166,7403,3095,9641,2,2,0,0,0,0,-1,-1,3508,2003,2772,3095,9641,2803,2,0,120000
0,6428,23,8002,7954,9777,10026,9657,9279,2,2,0,0,0,0,0,0,2000,2000,1000,504,1000,2000,2,0,100000
0,11929,39,44574,0,0,0,0,0,3,1,0,0,-2,-2,-2,-2,0,0,0,0,0,0,1,0,50000
0,18464,25,69816,71257,72812,74305,75872,77554,2,2,0,0,0,0,0,0,2600,2700,2700,2800,2900,4300,2,0,80000
0,22607,38,25080,26460,27042,27617,28546,13487,1,1,2,0,0,0,0,0,1800,2000,1400,1300,700,1000,2,0,30000
0,17728,51,26106,8999,0,0,10961,11349,1,2,0,-1,-1,-2,-1,0,8999,0,0,10961,503,448,2,0,440000
0,2713,39,56045,59524,58563,56831,53628,34490,1,1,0,0,2,0,0,0,5000,2000,1000,3000,8000,0,2,0,60000
0,769,40,158,0,0,0,0,612,2,1,-1,-1,-2,-2,-2,-2,0,0,0,0,612,1863,1,0,220000
0,9973,39,2019,-1,-1,-1,-1,-1,1,2,-1,-1,-2,-2,-2,-2,1,0,0,0,0,2774,2,1,300000
0,23747,49,1801,181,4095,5711,21420,6719,3,2,-1,-1,-1,-1,-1,-1,181,4126,5711,21520,6719,150,2,0,200000
0,17533,35,131211,132175,133289,134642,137065,108328,2,2,0,0,0,0,0,0,4001,4215,4101,4000,3300,3300,2,0,260000
0,18045,40,4599,3409,3790,2578,2100,2400,2,1,-1,-1,-1,-1,-1,-1,3409,6530,2578,2100,2400,6665,1,0,170000
0,1863,46,407331,403816,386053,389008,392650,391336,1,1,0,0,0,0,0,0,15043,14000,14003,14011,15003,14009,1,0,500000
0,9495,25,96889,102893,99176,80358,75007,76805,3,2,2,2,2,0,0,0,8513,128,3011,3000,3200,3400,1,1,100000
0,7863,37,164240,167116,165432,120084,123439,107682,2,1,0,0,0,0,0,0,8019,6196,4300,5000,4006,4007,1,0,170000
0,15957,30,50425,51400,0,0,0,0,2,1,0,0,0,-2,-2,-2,2400,0,0,0,0,0,2,0,50000
